buyer,quantity,1,2,3,4,5,6,7,8,9,10
Buyer8,0,0.76,0.87,0.79,0.88,0.75,0.74,0.74,0.78,0.78,0.84
Buyer8,2000,0.7,0.7,0.71,0.83,0.85,0.82,0.78,0.73,0.81,0.85
Buyer9,10000,0.82,0.74,0.8,0.9,0.79,0.86,0.73,0.74,0.72,0.71
Buyer9,13000,0.74,0.84,0.88,0.73,0.88,0.75,0.79,0.85,0.75,0.71
Buyer9,16000,0.87,0.85,0.76,0.71,0.72,0.7,0.82,0.88,0.8,0.76
Buyer9,3000,0.8,0.72,0.88,0.87,0.7,0.79,0.85,0.79,0.82,0.74
Buyer9,7000,0.87,0.71,0.87,0.9,0.8,0.82,0.85,0.7,0.78,0.82
Buyer9,2000,0.9,0.71,0.7,0.86,0.75,0.7,0.74,0.85,0.75,0.89
Buyer9,17000,0.81,0.83,0.73,0.9,0.7,0.76,0.7,0.77,0.79,0.82
Buyer9,10000,0.73,0.77,0.7,0.76,0.88,0.79,0.81,0.84,0.85,0.7
Buyer9,0,0.85,0.85,0.87,0.77,0.89,0.77,0.71,0.76,0.84,0.86
Buyer9,0,0.9,0.79,0.72,0.8,0.84,0.71,0.8,0.74,0.77,0.87
Buyer10,5000,0.84,0.9,0.9,0.74,0.74,0.83,0.9,0.71,0.79,0.81
Buyer10,1000,0.81,0.78,0.86,0.82,0.85,0.86,0.73,0.72,0.87,0.86
Buyer10,9000,0.86,0.82,0.82,0.73,0.79,0.76,0.9,0.9,0.74,0.74
Buyer10,17000,0.83,0.73,0.82,0.82,0.74,0.76,0.86,0.81,0.88,0.77
Buyer10,1000,0.74,0.79,0.79,0.76,0.83,0.85,0.73,0.87,0.83,0.73
Buyer10,4000,0.83,0.81,0.8,0.76,0.7,0.77,0.81,0.83,0.87,0.83
Buyer10,6000,0.88,0.74,0.81,0.9,0.84,0.87,0.84,0.87,0.87,0.74
Buyer10,13000,0.87,0.83,0.73,0.9,0.87,0.87,0.89,0.85,0.86,0.7
Buyer10,14000,0.86,0.87,0.82,0.86,0.77,0.83,0.88,0.9,0.88,0.87
Buyer10,3000,0.9,0.89,0.77,0.82,0.73,0.89,0.78,0.81,0.74,0.86
